Long,Lat,Site_Name,Cal.BC,Cal.BC.SD,Sample,Site_Type,Period_Author,Sub_Region,Country,Uncalibrated,SD,Domestics_Associated,Vida,Material,Type _c14,Quantity,Species,Database,Database_2,Reference,Comments,Period,Phase,Ceramic_Style,X26,X27,residuals
34.23,38.35,Asikli Hoyuk,9016,162,AA 100674,NA,PPN,NA,Turkey,9650,60,NA,NA,charcoal,14C,NA,nd,NA,NA,Stiner 2014,NA,NA,NA,NA,NA,NA,-48.002861685217795
2.949,42.626,Aspres del Paradis,4954,138,GrA 16273,settlement,Cardial,NA,France,6030,40,NA,NA,collagen  bone,NA,NA,NA,RADON,NA,Manning  K.; Timpson  A.; Colledge  S.; Crema  E.; Shennan  S. (2015)  The Cultural Evolution of Neolithic Europe. EUROEVOL Dataset.,NA,NA,n/a,NA,NA,NA,-190950223.6408866
39,36.58,Assouad,7726,316,MC 865,NA,Neo.,NA,Syria,8620,120,NA,NA,charcoal,NA,NA,---,NA,NA,"Cauvin, J. 1972a, Cauvin, J. 1974",Banadora: niveau le plus haut,NA,NA,NA,NA,NA,-11746612817768620
36.53,33.42,Aswad,9348,389,LY 11385,NA,"PPNA, PPNB",NA,Syria,9805,115,NA,NA,n.d.,NA,NA,---,NA,NA,Stordeur 2003,---,NA,NA,NA,NA,NA,-582.598226138949
34.91,32.55,Atlit-Yam,7086,287,RT 707,NA,PPNC?,NA,Israel Palestine,8140,120,NA,NA,charcoal,NA,NA,---,NA,NA,Gopher and Gophna 1993,---,NA,NA,NA,NA,NA,-309410054953966460
-2.47354,42.76646,Atxoste,5168,166,GrA 9789,cueva,Neolitico,Virgala,Iberia,6220,60,Yes,Short,Hueso,AMS,Singular,No determinado,NA,Bergin 2016,Alday y Garcia (1988),NA,Neolitico,antiguo,Epicardial,NA,NA,-63917.44918465555
5.886,45.354,Aulp du Seuil,5638,207,Ly 7092,n/a,n/a,NA,France,6690,115,NA,NA,charcoal,NA,NA,NA,RADON,NA,Manning  K.; Timpson  A.; Colledge  S.; Crema  E.; Shennan  S. (2015)  The Cultural Evolution of Neolithic Europe. EUROEVOL Dataset.,NA,NA,n/a,NA,NA,NA,-119757.07545704077
22.36,40.79,Axos-Pellas,6532,281,DEM  668,NA,EN,Northern Aegean,NA,7589,112,NA,NA,Nd,NA,NA,NA,14sea,NA,Maniatis 2014  207;,NA,NA,NA,NA,Nd,Nd,-21.61573662810133
36.82,31.83,Azraq 31,7307,161,OxA 2412,NA,LPPNB,NA,Jordan,8275,80,NA,NA,charcoal,NA,NA,---,NA,NA,"Hedges et al. 1987, Hedges et al. 1992, Garrard et al. 1994, Housley 1994","OxA-2414 falsch? Banadora: Le site connait deux occupation, au PPNB recent (OxA-870) et au late neolithique",NA,NA,NA,NA,NA,-1432622184031255300
35.46,30.41,Ba´ja,7075,135,Bln 5123,NA,LPPNB,NA,Jordan,8100,33,NA,NA,n.d.,NA,NA,---,NA,NA,Gorsdorf 2002a,---,NA,NA,NA,NA,NA,-2482594817692413e3
30.48,37.4,Bademagaci,6852,117,Hd 22340,NA,PN,NA,Turkey,7949,31,NA,NA,charcoal,NA,NA,---,NA,NA,"Duru 2004, Thissen 2006",---,NA,NA,NA,NA,NA,-642556418.3281085
-2.767038,40.996614,Baides,5132,200,OxA 1712,n/a,n/a,NA,Iberia,6210,85,-26,NA,charcoal,NA,NA,NA,RADON,NA,Radiocarbon Dates from the Oxford Ams System: Archaeometry Datelist 12. Archaeometry 33 / 1,NA,NA,n/a,NA,NA,NA,-120003.20766509206
2.6,43.33,Balma de Labeurador,5164,205,MC 2145,n/a,Cardial,NA,France,6260,90,NA,NA,charcoal,NA,NA,NA,RADON,NA,Manning  K.; Timpson  A.; Colledge  S.; Crema  E.; Shennan  S. (2015)  The Cultural Evolution of Neolithic Europe. EUROEVOL Dataset.,NA,NA,Epicardial,NA,NA,NA,-3117769.406301808
1.55358,42.56989,Balma Margineda,5772,265,Ly 3289,cueva,Neolitico,Sant Julià de Lòria,Andorra,6850,150,Yes,Long,Carbon,Convencional,NA,No determinado,NA,Bergin 2016,Guilaine y Martzluff (1995): Monografia  ed. Govern d'Andorra (Volum 1),NA,Neolitico,antiguo,Cardial,NA,NA,38.16076976328986
5.39,45.08,Balme Rousse,4915,326,Ly 3043,n/a,n/a,NA,France,6020,150,NA,NA,collagen  bone,NA,NA,NA,RADON,NA,Manning  K.; Timpson  A.; Colledge  S.; Crema  E.; Shennan  S. (2015)  The Cultural Evolution of Neolithic Europe. EUROEVOL Dataset.,NA,NA,n/a,NA,NA,NA,-15932825969.556482
16.79930873,41.0631473,Balsignano,5552,46,KIA,NA,Early Neolithic,NA,Italy,6602,30,NA,NA,NA,NA,NA,NA,Florentino,Bergin 2016,Location From Italian Site Database,T3,NA,NA,NA,NA,NA,-122798.78257589482
20.5668527,44.3064361,Banja,5934,180,Bln  873,NA,NA,Central Balkans North,NA,7048,100,NA,NA,Charcoal,NA,NA,NA,14sea,NA,McPherron et al. 1988: 381;,"Tasi_ N. 1997. Hronologija star_eva_ke kulture, PhD dissertation",NA,NA,NA,NA,Pit  south sonda IIb,-68240.2538177088
12.746384,45.925941,Bannia-Palazzine di sopra,4784,244,GrN 22172,NA,Neolithic,Pordenone,Italy,5870,90,NA,NA,NA,NA,NA,NA,NA,Bergin 2016,Visentini 2005,NA,NA,str 1,NA,NA,NA,-18797645331.185337
4.880475,44.095723,Baratin,5506,279,Gif 1855,settlement,Cardial,Courthezon,France,6600,140,NA,Long,Carbon,Convencional,Aggregate,NA,Pinhasi et al 2005 Shennan 2000 (online) Manen & Sabatier 2003 52,Bergin 2016,Zilhao 2001  Radiocarbon VOL 16 Na¦1 P.31,TP2003,Neolitico,antiguo,NA,NA,NA,-345505.70274096815
29.53,40.21,Barcin Höyük,6574,71,GrA 52848,NA,LN,NA,Turkey,7750,40,NA,NA,charcoal,14C,NA,nd,NA,NA,Gerritsen 2013,NA,NA,NA,NA,NA,NA,-334697099.48333824
0.68767,40.72558,Barranc de Fabra,4410,249,Beta 61490,poblado sin fortificar,Neolitico,Amposta,Iberia,5580,110,Yes,Long,Carbon,Convencional,Aggregate,No determinado,NA,Bergin 2016,Bosch et al. (1996): Rubricatum 1  p.391-396,NA,Neolitico,antiguo,Epicardial,NA,NA,-98952565429.92374
-6.82477,39.40952,Barruecos,5004,122,Beta 171124,murado/aterrazado/fortificado,Neolitico,Malpartida de Caceres,Iberia,6080,40,Yes,Long,Carbon,AMS,Singular,Indeterminado,NA,Bergin 2016,Cerrillo Cuenca 2005,NA,Neolitico,antiguo,Epicardial,NA,NA,-3347863.2713002553
8.831836,41.758878,Basi,6617,328,Gif 1851,NA,Cardial tyrrhe_nien,Corsica,France,7700,150,NA,NA,NA,NA,NA,NA,Manen & Sabatier 2003 28,Bergin 2016,NA,NA,NA,NA,NA,NA,NA,30297.640335625987
35.53,30.23,Basta,7392,202,GrN 14537,NA,PPNB,NA,Jordan,8380,100,NA,NA,charcoal,NA,NA,---,NA,NA,"Nissen et al. 1987, Kuijt and Bar-Yosef 1994",---,NA,NA,NA,NA,NA,-13932168444648378
4.46,44.31,Baume d Oullins,5570,206,MC 2034,cave,Cardial,NA,France,6630,110,NA,Long,charcoal,NA,NA,NA,Shennan 2000  Pinhasi et al 2005,Bergin 2016,BSPF TOME 79 FASC.6 P.185  Binder 2003,NA,Neolitico,antiguo,NA,NA,NA,-61590.629839939356
6.23,43.55,Baume de Fontbregoua,5644,191,Gif 2990,cave,Cardial,NA,France,6700,100,NA,NA,charcoal,NA,NA,NA,Shennan 2000 (online)  Pinhasi et al 2005,Bergin 2016,Radiocarbon VOL 24 Na¦3 P.324,NA,NA,NA,NA,NA,NA,-143334.60084390768
4.42,44.27,Baume de Montclus,5776,171,MC 728,n/a,n/a,NA,France,6880,100,NA,NA,charcoal,NA,NA,NA,RADON,NA,Manning  K.; Timpson  A.; Colledge  S.; Crema  E.; Shennan  S. (2015)  The Cultural Evolution of Neolithic Europe. EUROEVOL Dataset.,NA,NA,n/a,NA,NA,NA,-1682.970986314901
3.89,44.97,Baume Loire,5998,303,Ly 539,n/a,n/a,NA,France,7100,180,NA,NA,charcoal,NA,NA,NA,RADON,NA,Manning  K.; Timpson  A.; Colledge  S.; Crema  E.; Shennan  S. (2015)  The Cultural Evolution of Neolithic Europe. EUROEVOL Dataset.,NA,NA,n/a,NA,NA,NA,48.9747844754811
29.58,48.22,Baz’kov Ostrov,6248,127,Ki  8166,NA,Bug-Dniester,NW Pontic-forest steppe,NA,7410,65,NA,NA,Animal bone,NA,NA,NA,14sea,NA,Kotova 2009  169 Table 6; Gaskevych  2010: 233;;,NA,NA,NA,NA,NA,Lower layer,-113383274924.26749
35.45,30.37,Beidha,8278,292,P 1380,NA,PPNB,NA,Jordan,9128,103,NA,NA,charcoal,NA,NA,---,NA,NA,"Stuckenrath and Lawn 1969, Weinstein 1984",Banadora: pre-traitement à la soude (NaOH),NA,NA,NA,NA,NA,-3012777906.306655
-0.41108,38.7844,Benàmer,5511,87,CNA 539,NA,NA,Muro d’Alcoi,Iberia,6575,50,NA,Short,Polen,NA,Aggregate,NA,NA,Bergin 2016,NA,Estructuras de encanchados ; Domestica,Neolitico,antiguo,NA,NA,NA,-251.61348013182578
26.156,39.914,Be_ik-Sivritepe,5480,149,Hd  11348,NA,-,Northern Aegean,NA,6567,84,NA,NA,Shell,NA,NA,NA,14sea,NA,Korfmann & Kromer 1993  146;,MRE-correction necessary?,NA,NA,NA,_42.79 m,PP82.104,-198201647905.08783
35.1361,33.0708,Betzet 1,7306,204,RT 1394,NA,PPN,NA,Israel,8330,100,NA,NA,NA,NA,NA,NA,Pinhasi et al 2005,NA,NA,NA,NA,NA,NA,NA,NA,-16508324096123976
16.61,38.92,Bevilacqua,5336,185,P 3047,NA,Stentinello,Catanzaro  Calabria,Italy,6430,90,NA,NA,NA,NA,NA,NA,c14_meso_dbase,Bergin 2016,NA,NA,NA,NA,NA,NA,NA,-4092053.46206096
19.752,46.09,Biserna Obala Nosa,5691,130,OxA 8540,NA,Star_evo,NA,NA,6740,75,NA,NA,Equus hydruntinus radius,NA,NA,NA,NA,NA,"Whittle A, Bartosiewicz L, Bori_ D, Pettitt P, Richards M. In the beginning: new radiocarbon dates for the Early Neolithic in northern Serbia and south-east Hungary. Antaeus. 2002(25):63-117",NA,NA,NA,NA,NA,NA,-855026.2777837818
5.66,45.95,BLACHETTE SUD,6434,114,Ly 2789,n/a,n/a,NA,France,7585,50,NA,NA,n/a,NA,NA,NA,RADON,NA,Manning  K.; Timpson  A.; Colledge  S.; Crema  E.; Shennan  S. (2015)  The Cultural Evolution of Neolithic Europe. EUROEVOL Dataset.,NA,NA,n/a,NA,NA,NA,2554.531865664503
21.13542489,43.67087736,Blagotin-Poljna,6296,116,OxA  8608,NA,NA,Central Balkans North,NA,7480,55,NA,NA,Red deer antler,NA,NA,NA,14sea,NA,Whittle et al. 2002: 113;,NA,NA,NA,NA,NA,Base of pit JA2  pit dwelling 7,-402.2788941124709
11.358947,44.497669,Bologna via Andrea Costa,5154,124,LTL2427a,NA,Neolitico,NA,Italy,6219,50,NA,NA,NA,NA,NA,NA,NA,Bergin 2016,facchinetti 2012,NA,NA,NA,NA,NA,NA,-96776872.08466977
0.18843,41.09958,Botiqueria de los Moros,5178,137,GrA 13270,cueva,Neolitico,Mazaleon,Iberia,6240,50,No,Short,Hueso,AMS,Singular,No determinado,NA,Bergin 2016,Barandiaran y Cava (2000): SPAL 9  p.293-326,NA,Neolitico,antiguo,CardialEpicardial,NA,NA,-130546.09518119496
4.8,45.78,Boulevard Peripherique Nord de Lyon,5002,119,OxA 19858,n/a,Cardial,NA,France,6062,33,NA,NA,n/a,NA,NA,NA,RADON,NA,Manning  K.; Timpson  A.; Colledge  S.; Crema  E.; Shennan  S. (2015)  The Cultural Evolution of Neolithic Europe. EUROEVOL Dataset.,NA,NA,n/a,NA,NA,NA,-1650204325.8744
40.39,35.03,Bouqras,7383,116,GrN 8262,NA,PPNB,NA,Syria,8380,45,NA,NA,charcoal,NA,NA,---,NA,NA,"Akkermans et al. 1981, Bernbeck 1994",Banadora: rafaîchissement des coupes des sondages de Contenson,NA,NA,NA,NA,NA,-4150563062326418400
1.18333,43.15,BUHOLOUP,6522,172,Ly 6814,n/a,n/a,NA,France,7645,81,NA,NA,n/a,NA,NA,NA,RADON,NA,Manning  K.; Timpson  A.; Colledge  S.; Crema  E.; Shennan  S. (2015)  The Cultural Evolution of Neolithic Europe. EUROEVOL Dataset.,NA,NA,n/a,NA,NA,NA,7726914.67365926
-8.08377,41.08829,Buraco da Pala,4785,306,ICEN 935,cueva,Neolitico,Mirandela,Iberia,5860,140,Yes,Long,Carbon,Convencional,Aggregate,Indeterminado,NA,Bergin 2016,Zilhao 2000,NA,Neolitico,antiguo,NA,NA,NA,-223508468.32274514
37.2,31.95,Burqu 27,6236,140,OxA 2766,NA,Neo.,NA,Jordan,7390,80,NA,NA,charcoal,NA,NA,---,NA,NA,"Hedges et al. 1992, Housley 1994",Banadora: OxA-2765 et OxA-2766 datent la première phase d'occupation du site,NA,NA,NA,NA,NA,-23282995672988657e10
37.2,31.95,Burqu 35,7300,169,OxA 2770,NA,Neo.,NA,Jordan,8270,80,NA,NA,charcoal,NA,NA,---,NA,NA,"Hedges et al. 1992, Housley 1994","Burqu 37?; Banadora: culture comparabel au PPNC de Ain Ghazal, site saisonnier de chasseurs-pasteurs",NA,NA,NA,NA,NA,-3114846480327952400
35.65,34.12,Byblos,6226,133,GrN 1544,NA,PN,NA,Lebanon,7360,70,NA,NA,charcoal,NA,NA,---,NA,NA,Vogel and Waterbolk 1972,---,NA,NA,NA,NA,NA,-8513808676757941e9
2.38049,41.60404,Ca l’Estrada,4600,95,Poz 10391,NA,Neolitico,Riudarenes,Iberia,5740,40,Yes,Short,Hueso,AMS,Singular,Humano,NA,Bergin 2016,Gibaja y Carvalho 2010,NA,Neolitico,medio,NA,NA,NA,-33522460376.390686
3.135127,42.317926,Ca n'Isach,4736,455,UBAR 317,settlement,Neolithikum,NA,Iberia,5840,230,NA,NA,charcoal,NA,NA,NA,RADON,NA,Fases estructurals i cronolÌ_giques a l‰ÛªhÌÊbitat neolÌ_tic de Ca n‰ÛªIsaach (Palau Savardera,NA,NA,Antic,NA,NA,NA,-10516809461.84211
-1.831616,37.207675,Cabecicos Negros,5480,93,Beta 347627,poblado sin fortificar,Neolitico,Vera,Iberia,6550,50,NA,Short,Malacofauna,AMS,Singular,Cerastodema edule,NA,Bergin 2016,Socas y Calamich (2013): Revista Menga “Dosier Neolitico” 4: 103-129,NA,Neolitico,antiguo,NA,NA,NA,-274.7350673195797
-8.48635,39.12782,CabeCo da Amoreira,5292,117,Wk 26796,conchero,Neolitico,Muge,Iberia,6329,40,No,Short,Hueso,NA,Singular,Humano,NA,Bergin 2016,Bicho et al. 2011,NA,Neolitico,antiguo,Otra Impresa,NA,NA,-45907.433181093314
-8.42844,38.3528,CabeCo do Pez,4392,272,Q 2499,NA,Neolitico,Setubal,Iberia,5535,130,NA,Short,Hueso,Convencional,Aggregate,NA,NA,Bergin 2016,Zilhao 2000,NA,Neolitico,medio,NA,NA,NA,-205593853658.14456
